,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Performance | GA,Performance | GA90,Performance | SoTA,Performance | Saves,Performance | Save%,W,D,L,Performance | CS,Performance | CS%,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Penalty Kicks | Save%,90s,GA,PKA,Goals | FK,Goals | CK,Goals | OG,Expected | PSxG,Expected | PSxG/SoT,Expected | PSxG+/-,Expected | /90,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | #OPA/90,Sweeper | AvgDist,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
8,Alisson,BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,1.0,1.0,0.0,0.03,0.03,0.0,0.03,24.0,0.67,99.0,76.0,75.8,27.0,7.0,2.0,20.0,55.6,0.0,0.0,0.0,0.0,36.0,24.0,0.0,0.0,3.0,1.0,24.4,0.25,1.4,0.04,114.0,258.0,44.2,1216.0,211.0,16.5,26.3,172.0,33.1,33.4,340.0,22.0,6.5,89.0,2.47,18.7,1214.0,1388.0,87.5,28439.0,18285.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,1,1.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,1388.0,1154.0,234.0,62.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1214.0,0.0,0.0,3.0,0.08,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1,3.0,0.0,0.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,0,3.0,28.0,1.0,1470.0,1044.0,1453.0,17.0,0.0,0.0,1470.0,1.0,1.0,100.0,1.0,0.0,835.0,0.0,90,94.7,90.0,36,0,0.0,0,2.44,87,24,63,1.75,-0.75,89.7,35.2,54.5,1.51,-0.11,0,0,2,0,0,1,0.0,0.0,1,80.0,15.0,1.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Alphonse Areola,FRA,GK,West Ham,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.39,0.2,0.17,9.0,28.0,32.1,26.0,3.0,69.2,46.3,14.0,71.4,48.5,15.0,1.0,6.7,0.0,0.0,5.5,21.0,40.0,52.5,785.0,656.0,2.0,2.0,100.0,8.0,8.0,100.0,11.0,30.0,36.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,17.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,42.0,40.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,90,2.6,90.0,1,0,0.0,37,0.0,0,1,-1,-1.0,-1.27,0.4,1.9,-1.6,-1.58,-1.62,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,13.0,11.0,84.6,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,3.2,0.25,1.2,0.3,8.0,29.0,27.6,117.0,29.0,19.7,26.4,21.0,28.6,27.6,44.0,2.0,4.5,8.0,2.0,18.8,115.0,138.0,83.3,2398.0,1340.0,36.0,36.0,100.0,55.0,55.0,100.0,21.0,44.0,47.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,138.0,110.0,28.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,147.0,126.0,147.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,90,10.5,90.0,4,0,0.0,34,1.75,6,2,4,1.0,-0.15,5.2,3.2,2.0,0.49,-0.4,0,0,1,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Daniel Bachmann,AUT,GK,Watford,27,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.33,72.0,46.0,65.3,1.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,28.0,3.0,1.0,3.0,2.0,23.2,0.3,-2.8,-0.23,71.0,207.0,34.3,275.0,47.0,53.8,40.9,87.0,67.8,47.8,187.0,7.0,3.7,12.0,1.0,16.1,216.0,364.0,59.3,7080.0,5483.0,19.0,19.0,100.0,104.0,109.0,95.4,93.0,234.0,39.7,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,364.0,237.0,125.0,38.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,216.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,0.0,403.0,326.0,401.0,2.0,0.0,0.0,403.0,1.0,1.0,100.0,0.0,0.0,148.0,0.0,90,31.6,90.0,12,0,0.0,25,0.25,10,28,-18,-1.5,-0.54,13.0,23.8,-10.8,-0.9,-0.23,0,1,1,0,0,0,0.0,1.0,0,10.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Asmir Begovic,BIH,GK,Everton,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.67,18.0,11.0,61.1,1.0,0.0,2.0,1.0,33.3,1.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,3.0,1.0,4.2,0.18,-2.8,-0.94,20.0,62.0,32.3,54.0,5.0,74.1,48.9,31.0,71.0,51.3,50.0,3.0,6.0,2.0,0.67,10.7,39.0,85.0,45.9,1601.0,1416.0,2.0,2.0,100.0,14.0,14.0,100.0,23.0,68.0,33.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,46.0,39.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,99.0,92.0,99.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,90,7.9,90.0,3,0,0.0,35,1.0,2,8,-6,-2.0,-1.51,2.8,6.4,-3.7,-1.22,-0.95,0,0,0,0,0,0,0.0,0.0,0,2.0,5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Jack Butland,ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.53,28.0,16.0,53.6,2.0,4.0,2.0,1.0,12.5,0.0,1.0,0.0,100.0,8.5,13.0,0.0,1.0,1.0,2.0,9.7,0.31,-1.3,-0.16,25.0,93.0,26.9,221.0,40.0,28.5,29.8,66.0,45.5,36.3,139.0,11.0,7.9,7.0,0.82,11.2,214.0,287.0,74.6,4835.0,2855.0,61.0,61.0,100.0,108.0,108.0,100.0,40.0,113.0,35.4,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,287.0,193.0,94.0,28.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,295.0,258.0,294.0,1.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,85,22.4,90.0,8,1,45.0,29,1.11,12,13,-1,-0.12,-0.29,10.0,9.6,0.4,0.04,-0.21,0,0,2,0,0,0,0.0,0.0,0,4.0,1.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Willy Caballero,ARG,GK,Southampton,39,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,11.0,6.0,54.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,3.3,0.31,-1.7,-0.85,17.0,36.0,47.2,47.0,0.0,51.1,38.4,13.0,92.3,56.5,33.0,1.0,3.0,4.0,2.0,14.0,37.0,60.0,61.7,1320.0,1119.0,6.0,6.0,100.0,12.0,12.0,100.0,19.0,42.0,45.2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,41.0,19.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,69.0,47.0,69.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,90,5.3,90.0,2,0,0.0,19,0.5,2,5,-3,-1.5,-0.92,1.7,3.1,-1.4,-0.69,-0.36,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Karl Darlow,ENG,GK,Newcastle Utd,30,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.87,37.0,23.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,15.0,2.0,0.0,1.0,1.0,9.5,0.21,-4.5,-0.56,72.0,163.0,44.2,187.0,28.0,61.5,44.5,62.0,77.4,56.7,106.0,5.0,4.7,4.0,0.5,10.5,155.0,250.0,62.0,6276.0,4923.0,13.0,13.0,100.0,42.0,43.0,97.7,99.0,191.0,51.8,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,250.0,151.0,98.0,36.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,1.0,266.0,214.0,262.0,4.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,90,21.1,90.0,8,0,0.0,26,0.63,10,15,-5,-0.62,-0.19,8.3,13.0,-4.7,-0.58,-0.14,0,1,2,0,0,0,0.0,1.0,0,5.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Martin Dubravka,SVK,GK,Newcastle Utd,32,1989,26,26,2340,26.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,35.0,1.35,106.0,72.0,67.9,13.0,4.0,9.0,8.0,30.8,1.0,0.0,0.0,0.0,26.0,35.0,1.0,0.0,7.0,1.0,34.0,0.32,0.0,0.0,207.0,497.0,41.6,605.0,88.0,46.3,37.0,236.0,91.9,60.5,360.0,22.0,6.1,14.0,0.54,11.9,534.0,846.0,63.1,18819.0,14791.0,62.0,62.0,100.0,228.0,233.0,97.9,242.0,544.0,44.5,0,0.1,0.0,-0.1,2.0,13.0,0.0,0.0,0.0,846.0,501.0,340.0,104.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,534.0,5.0,0.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,8.0,2.0,897.0,690.0,889.0,9.0,0.0,0.0,897.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,90,68.4,90.0,26,0,0.0,3,1.65,29,35,-6,-0.23,0.77,31.3,39.1,-7.8,-0.3,0.54,0,0,6,0,0,1,0.0,0.0,0,19.0,4.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Ederson,BRA,GK,Manchester City,27,1993,37,37,3330,37.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.7,83.0,57.0,69.9,28.0,6.0,3.0,20.0,54.1,1.0,0.0,0.0,0.0,37.0,26.0,1.0,0.0,1.0,0.0,25.7,0.3,-0.3,-0.01,87.0,182.0,47.8,988.0,165.0,15.7,25.7,138.0,19.6,26.8,300.0,21.0,7.0,55.0,1.49,19.0,1016.0,1128.0,90.1,22789.0,14731.0,280.0,280.0,100.0,519.0,523.0,99.2,212.0,316.0,67.1,0,0.0,0.1,0.0,0.0,7.0,1.0,0.0,3.0,1128.0,951.0,175.0,36.0,1.0,2.0,0,1.0,0.0,0.0,0.0,0.0,1016.0,2.0,2.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,2.0,12.0,0.0,1174.0,911.0,1164.0,10.0,0.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,90,97.4,90.0,37,0,0.0,0,2.43,97,26,71,1.92,-0.08,94.4,25.2,69.1,1.87,0.5,0,1,4,0,0,1,0.0,1.0,0,43.0,10.0,3.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Lukasz Fabianski,POL,GK,West Ham,36,1985,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.35,162.0,111.0,70.4,16.0,8.0,13.0,8.0,21.6,2.0,3.0,1.0,60.0,37.0,50.0,2.0,2.0,8.0,2.0,46.8,0.26,-1.2,-0.03,193.0,525.0,36.8,736.0,164.0,48.9,38.2,277.0,59.6,44.4,595.0,28.0,4.7,12.0,0.32,10.4,666.0,1013.0,65.7,20643.0,15742.0,110.0,111.0,99.1,270.0,274.0,98.5,281.0,622.0,45.2,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1013.0,665.0,348.0,71.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,1.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,0.0,1086.0,980.0,1083.0,3.0,0.0,0.0,1086.0,0.0,0.0,0.0,0.0,1.0,414.0,0.0,90,97.4,90.0,37,0,0.0,0,1.51,60,50,10,0.27,1.27,57.7,56.1,1.5,0.04,1.62,0,1,7,0,0,0,0.0,1.0,0,21.0,11.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Alvaro Fernandez,ESP,GK,Brentford,23,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,69.0,47.0,66.7,3.0,2.0,7.0,1.0,8.3,1.0,0.0,0.0,0.0,12.0,24.0,1.0,0.0,5.0,2.0,19.9,0.28,-2.1,-0.17,64.0,216.0,29.6,433.0,60.0,40.4,33.9,83.0,49.4,36.9,194.0,9.0,4.6,18.0,1.5,16.8,336.0,517.0,65.0,8817.0,5768.0,77.0,79.0,97.5,149.0,154.0,96.8,109.0,282.0,38.7,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,517.0,396.0,120.0,37.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,336.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,2.0,548.0,424.0,542.0,6.0,0.0,0.0,548.0,0.0,0.0,0.0,1.0,0.0,278.0,0.0,90,31.6,90.0,12,0,0.0,19,0.92,13,24,-11,-0.92,-1.03,12.4,18.9,-6.5,-0.54,-0.69,0,0,3,0,0,0,0.0,0.0,1,18.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Fraser Forster,ENG,GK,Southampton,33,1988,19,19,1710,19.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.84,101.0,68.0,67.3,6.0,5.0,8.0,3.0,15.8,2.0,0.0,0.0,0.0,19.0,35.0,2.0,0.0,5.0,2.0,32.4,0.31,-0.6,-0.03,105.0,330.0,31.8,461.0,71.0,50.1,39.6,140.0,70.7,49.5,285.0,18.0,6.3,24.0,1.26,12.4,360.0,603.0,59.7,11459.0,8545.0,48.0,49.0,98.0,167.0,173.0,96.5,144.0,377.0,38.2,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,603.0,393.0,208.0,68.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,360.0,2.0,1.0,4.0,0.21,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,23.0,2.0,673.0,513.0,669.0,4.0,0.0,0.0,673.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,90,50.0,90.0,19,0,0.0,14,1.21,25,35,-10,-0.53,0.21,24.9,34.6,-9.8,-0.51,-0.32,0,0,3,0,0,0,0.0,0.0,0,7.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Ben Foster,ENG,GK,Watford,38,1983,26,26,2340,26.0,0,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.88,116.0,67.0,60.3,5.0,5.0,16.0,4.0,15.4,3.0,1.0,0.0,25.0,26.0,49.0,3.0,0.0,3.0,1.0,37.1,0.29,-10.9,-0.42,196.0,622.0,31.5,657.0,76.0,64.1,44.7,223.0,90.1,60.6,455.0,20.0,4.4,37.0,1.42,15.8,428.0,886.0,48.3,16732.0,14442.0,38.0,39.0,97.4,137.0,148.0,92.6,253.0,692.0,36.6,1,0.0,0.1,1.0,1.0,33.0,1.0,0.0,0.0,886.0,552.0,328.0,105.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,428.0,6.0,1.0,8.0,0.31,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,9.0,4.0,946.0,723.0,931.0,16.0,0.0,0.0,946.0,1.0,1.0,100.0,0.0,0.0,336.0,0.0,90,68.4,90.0,26,0,0.0,2,0.77,24,49,-25,-0.96,0.54,31.3,48.8,-17.4,-0.67,0.23,0,1,4,0,0,0,0.0,1.0,0,54.0,5.0,3.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,David de Gea,ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.5,180.0,124.0,70.0,16.0,10.0,12.0,8.0,21.1,3.0,2.0,0.0,40.0,38.0,57.0,3.0,0.0,4.0,3.0,55.1,0.29,1.1,0.03,103.0,315.0,32.7,623.0,134.0,30.0,30.9,299.0,42.8,35.9,525.0,8.0,1.5,25.0,0.66,14.0,677.0,924.0,73.3,16463.0,11239.0,176.0,178.0,98.9,332.0,343.0,96.8,166.0,397.0,41.8,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,924.0,564.0,358.0,59.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,677.0,2.0,1.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,2.0,1019.0,927.0,1018.0,1.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,90,100.0,90.0,38,0,0.0,0,1.53,57,57,0,0.0,0.0,61.7,59.6,2.1,0.05,0.0,0,0,1,0,0,0,0.0,0.0,0,30.0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Vicente Guaita,ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.12,116.0,83.0,74.1,9.0,11.0,9.0,11.0,36.7,3.0,0.0,0.0,0.0,29.5,33.0,3.0,1.0,10.0,0.0,28.8,0.23,-4.2,-0.14,105.0,282.0,37.2,778.0,182.0,26.6,28.3,201.0,37.3,31.5,386.0,17.0,4.4,36.0,1.22,16.3,776.0,982.0,79.0,17570.0,10058.0,241.0,242.0,99.6,345.0,348.0,99.1,171.0,369.0,46.3,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,982.0,725.0,254.0,53.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,776.0,3.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,8.0,1.0,1038.0,916.0,1035.0,3.0,0.0,0.0,1038.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,89,77.6,89.0,29,0,0.0,5,1.27,38,33,5,0.17,0.29,43.8,36.4,7.5,0.25,0.21,0,1,2,0,0,0,0.0,1.0,0,22.0,8.0,1.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
