,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Performance | GA,Performance | GA90,Performance | SoTA,Performance | Saves,Performance | Save%,W,D,L,Performance | CS,Performance | CS%,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Penalty Kicks | Save%,90s,GA,PKA,Goals | FK,Goals | CK,Goals | OG,Expected | PSxG,Expected | PSxG/SoT,Expected | PSxG+/-,Expected | /90,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | #OPA/90,Sweeper | AvgDist,Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
4,Adrian,ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.03,27.0,17.0,63.0,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,9.7,10.0,0.0,1.0,1.0,0.0,7.5,0.28,-2.5,-0.26,36.0,99.0,36.4,241.0,51.0,33.2,33.0,70.0,27.1,29.2,127.0,7.0,5.5,14.0,1.44,15.3,238,311,76.5,6251,4196,48,48,100.0,112,113,99.1,78,148,52.7,0,0.0,0.0,0.0,0,3,0,0,0,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1,2,0.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,3,332,299,332,0,0,0,332,0,0,0.0,0,0,152,0,80,25.6,90.0,9,2,33.0,27,3.0,24,10,14,1.44,0.1,18.9,10.5,8.4,0.86,0.06,0,0,1,0,0,1,0,0,0,5,4,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alisson,BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0,1,0,0,0,0,1,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01,23.0,0.81,80.0,58.0,72.5,21.0,3.0,3.0,13.0,44.8,1.0,0.0,0.0,0.0,28.3,23.0,1.0,0.0,1.0,1.0,19.7,0.24,-2.3,-0.08,85.0,189.0,45.0,778.0,140.0,18.4,27.4,167.0,27.5,30.9,299.0,10.0,3.3,63.0,2.23,19.2,820,947,86.6,19608,12631,204,204,100.0,414,424,97.6,199,314,63.4,1,0.3,0.0,0.7,1,7,0,0,1,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,3,995,795,986,10,0,0,995,0,0,0.0,0,0,495,0,88,74.4,88.0,27,0,0.0,0,2.48,61,23,38,1.34,-0.09,50.0,27.3,22.7,0.8,-0.06,0,1,1,0,0,0,0,0,0,63,6,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Kepa Arrizabalaga,ESP,GK,Chelsea,24,1994,33,33,2970,33.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.42,99.0,54.0,54.5,18.0,4.0,11.0,8.0,24.2,2.0,0.0,0.0,0.0,33.0,47.0,2.0,2.0,7.0,2.0,33.7,0.32,-11.3,-0.34,83.0,250.0,33.2,892.0,151.0,20.6,28.3,198.0,33.3,32.7,343.0,20.0,5.8,35.0,1.06,16.0,896,1095,81.8,21518,13308,159,159,100.0,538,546,98.5,199,383,52.0,0,0.0,0.0,0.0,0,2,0,0,0,1095,839,251,52,0,2,0,1,0,0,0,0,896,5,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,2,1144,976,1138,6,0,0,1144,0,0,0.0,1,0,642,0,90,86.8,90.0,33,0,0.0,5,1.76,61,47,14,0.42,0.22,62.6,34.8,27.8,0.84,0.28,0,0,5,0,0,1,0,0,0,35,5,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Claudio Bravo,CHI,GK,Manchester City,36,1983,4,3,347,3.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.82,15.0,8.0,53.3,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.9,7.0,0.0,0.0,0.0,0.0,4.5,0.3,-2.5,-0.66,18.0,44.0,40.9,108.0,17.0,26.9,28.0,28.0,53.6,39.7,63.0,1.0,1.6,1.0,0.26,11.0,107,136,78.7,2579,1755,32,33,97.0,48,49,98.0,27,54,50.0,0,0.0,0.0,0.0,0,0,0,0,0,136,100,36,8,0,1,0,0,0,0,0,0,107,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,143,117,141,2,0,0,143,1,1,100.0,0,0,78,0,87,10.1,90.0,3,1,77.0,27,1.5,7,7,0,0.0,-1.96,5.4,5.7,-0.3,-0.09,-1.73,0,0,0,0,0,0,0,0,0,2,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Willy Caballero,ARG,GK,Chelsea,37,1981,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4,16.0,10.0,56.3,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,1.0,3.8,0.23,-2.2,-0.45,19.0,52.0,36.5,136.0,17.0,30.9,31.4,28.0,35.7,32.9,46.0,1.0,2.2,3.0,0.6,16.0,124,164,75.6,3134,2323,26,26,100.0,60,60,100.0,38,78,48.7,0,0.0,0.0,0.0,0,0,0,0,0,164,133,31,3,0,0,0,0,0,0,0,0,124,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,176,160,176,0,0,0,176,0,0,0.0,0,0,109,0,90,13.2,90.0,5,0,0.0,33,1.6,8,7,1,0.2,-0.22,6.6,3.8,2.8,0.56,-0.28,0,0,0,0,0,0,0,0,0,0,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Martin Dubravka,SVK,GK,Newcastle Utd,30,1989,38,38,3420,38.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.53,195.0,139.0,71.3,11.0,11.0,16.0,11.0,28.9,2.0,0.0,0.0,0.0,38.0,58.0,2.0,3.0,8.0,2.0,63.0,0.32,7.0,0.18,288.0,750.0,38.4,749.0,119.0,60.7,42.0,340.0,86.8,58.3,686.0,21.0,3.1,26.0,0.68,11.6,609,1097,55.5,23225,19599,62,62,100.0,206,210,98.1,340,814,41.8,0,0.0,0.1,0.0,0,12,1,0,0,1097,596,493,152,0,4,0,1,0,0,0,0,609,8,2,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,2,0,2,1,2,17,5,1213,1015,1207,6,0,0,1213,0,0,0.0,3,0,331,0,90,100.0,90.0,38,0,0.0,0,1.16,38,58,-20,-0.53,0.0,35.5,65.6,-30.1,-0.79,0.0,0,0,4,0,0,1,0,0,0,35,9,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Ederson,BRA,GK,Manchester City,25,1993,35,35,3071,34.1,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,28.0,0.82,95.0,68.0,73.7,24.0,3.0,7.0,16.0,45.7,3.0,0.0,0.0,0.0,34.1,28.0,3.0,1.0,4.0,1.0,29.6,0.29,2.6,0.08,74.0,183.0,40.4,939.0,178.0,15.4,26.0,139.0,27.3,30.0,260.0,14.0,5.4,63.0,1.85,19.3,949,1082,87.7,21003,13349,276,277,99.6,481,487,98.8,190,312,60.9,0,0.1,0.2,-0.1,1,10,0,0,0,1082,892,186,46,2,2,0,1,0,0,0,0,949,4,0,6,0.18,6,0,0,0,0,0,1,0.03,1,0,0,0,0,0,2,2,2,0,0,2,5,40.0,3,0,0,0,3,5,16,6,1156,894,1138,19,0,0,1156,0,0,0.0,1,0,667,0,88,89.8,88.0,34,0,0.0,0,2.14,95,28,67,1.96,1.96,86.6,30.5,56.1,1.64,1.73,0,2,2,0,0,2,0,0,0,49,12,1,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Lukasz Fabianski,POL,GK,West Ham,34,1985,25,25,2117,23.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.45,104.0,71.0,70.2,8.0,6.0,9.0,5.0,20.0,3.0,1.0,0.0,25.0,23.5,34.0,3.0,1.0,2.0,2.0,32.1,0.27,0.1,0.0,189.0,455.0,41.5,480.0,100.0,60.2,43.5,192.0,86.5,58.6,382.0,11.0,2.9,8.0,0.34,10.3,386,678,56.9,15775,13749,28,28,100.0,109,116,94.0,248,525,47.2,0,0.0,0.0,0.0,0,12,0,0,0,678,411,261,69,0,1,0,0,0,0,0,0,386,6,2,2,0.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,5,3,726,637,723,3,0,0,726,1,1,100.0,1,0,217,0,85,61.9,85.0,23,0,0.0,0,1.24,36,34,2,0.09,1.12,32.2,36.8,-4.6,-0.2,0.54,0,1,2,0,0,2,0,1,0,12,11,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Ralf Fahrmann,GER,GK,Norwich City,30,1988,1,1,21,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.29,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0,1.2,0.08,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,22.7,3.0,0.0,15.7,5.0,1.0,20.0,0.0,0.0,11.3,7,10,70.0,94,38,6,6,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,12,0,0,0.0,0,0,4,0,21,0.6,21.0,0,0,0.0,19,0.0,0,1,-1,-4.29,-3.01,0.1,0.9,-0.8,-3.58,-2.82,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Ben Foster,ENG,GK,Watford,36,1983,38,38,3420,38.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,64.0,1.68,178.0,116.0,68.5,8.0,10.0,20.0,9.0,23.7,8.0,1.0,0.0,11.1,38.0,64.0,8.0,3.0,7.0,3.0,62.6,0.31,1.6,0.04,302.0,923.0,32.7,912.0,118.0,71.7,46.9,295.0,91.2,62.2,581.0,30.0,5.2,55.0,1.45,15.9,552,1221,45.2,22851,20477,44,46,95.7,147,152,96.7,361,1009,35.8,0,0.0,0.1,0.0,1,30,1,0,0,1221,735,472,177,0,3,0,0,0,0,0,0,552,14,0,5,0.13,1,3,0,0,0,1,1,0.03,1,0,0,0,0,0,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,16,2,1330,1008,1295,34,1,1,1330,2,2,100.0,0,0,386,0,90,100.0,90.0,38,0,0.0,0,0.89,36,64,-28,-0.74,0.0,48.9,58.1,-9.3,-0.24,0.0,0,2,4,0,0,0,0,2,0,54,9,0,100.0,0.0,1.0,1.0,100.0,0.03,0.03,0.0,0.0,10.0,0.0,0.1,-0.1,-0.1
158,Paulo Gazzaniga,ARG,GK,Tottenham,27,1992,18,17,1613,17.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.02,0.02,0.0,0.02,26.0,1.45,82.0,56.0,72.0,5.0,5.0,7.0,2.0,11.8,3.0,1.0,0.0,25.0,17.9,26.0,3.0,1.0,2.0,1.0,22.6,0.23,-2.4,-0.13,62.0,232.0,26.7,377.0,63.0,37.1,33.3,142.0,64.8,48.5,262.0,7.0,2.7,16.0,0.89,17.6,334,522,64.0,8663,6233,93,93,100.0,148,150,98.7,92,275,33.5,0,0.3,0.0,-0.3,1,5,0,0,0,522,352,167,25,0,0,0,0,0,0,0,0,334,3,0,1,0.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,4,1,569,515,567,2,0,0,569,0,0,0.0,0,0,232,0,90,47.2,90.0,17,1,83.0,20,1.11,25,26,-1,-0.06,-0.8,23.6,23.2,0.4,0.02,0.36,0,1,2,0,0,0,0,1,0,16,4,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,David de Gea,ESP,GK,Manchester Utd,28,1990,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.95,131.0,96.0,74.8,18.0,12.0,8.0,13.0,34.2,3.0,0.0,0.0,0.0,38.0,36.0,3.0,1.0,8.0,1.0,34.7,0.25,-0.3,-0.01,83.0,262.0,31.7,672.0,153.0,28.4,30.6,268.0,26.5,29.0,489.0,10.0,2.0,22.0,0.58,15.0,736,941,78.2,16748,11382,213,215,99.1,370,376,98.4,150,344,43.6,0,0.0,0.0,0.0,0,5,0,0,0,941,593,347,78,0,2,0,1,0,0,0,0,736,1,0,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,4,1005,922,1003,3,0,0,1005,0,0,0.0,1,0,368,0,90,100.0,90.0,38,0,0.0,0,1.74,66,36,30,0.79,0.0,62.2,37.7,24.5,0.64,0.0,0,0,6,0,0,0,0,0,0,35,7,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Vicente Guaita,ESP,GK,Crystal Palace,32,1987,35,35,3150,35.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.2,149.0,109.0,71.8,11.0,9.0,15.0,10.0,28.6,0.0,0.0,1.0,0.0,35.0,42.0,0.0,0.0,3.0,2.0,47.4,0.33,7.4,0.21,202.0,625.0,32.3,783.0,173.0,51.3,38.8,274.0,81.4,56.8,591.0,23.0,3.9,24.0,0.69,12.3,610,1065,57.3,19861,16024,108,109,99.1,243,253,96.0,256,692,37.0,0,0.0,0.0,0.0,0,17,0,0,0,1065,703,354,80,0,2,0,0,0,0,0,0,610,8,0,4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,18,3,1154,1007,1152,3,0,0,1154,0,0,0.0,0,0,431,0,90,92.1,90.0,35,0,0.0,0,1.2,29,42,-13,-0.37,1.63,33.3,49.8,-16.5,-0.47,1.08,0,0,4,0,0,1,0,0,1,16,16,2,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Angus Gunn,ENG,GK,Southampton,23,1996,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,55.0,30.0,58.2,2.0,2.0,6.0,2.0,20.0,2.0,0.0,0.0,0.0,10.0,25.0,2.0,1.0,1.0,0.0,17.5,0.28,-7.5,-0.75,38.0,178.0,21.3,181.0,27.0,62.4,42.3,77.0,84.4,55.5,139.0,4.0,2.9,12.0,1.2,17.0,114,258,44.2,3506,2767,32,32,100.0,36,38,94.7,46,188,24.5,0,0.0,0.0,0.0,0,5,1,0,0,258,147,111,34,0,0,0,0,0,0,0,0,114,0,0,1,0.1,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0,281,225,280,1,0,0,281,0,0,0.0,0,0,83,0,90,26.3,90.0,10,0,0.0,28,0.8,9,25,-16,-1.6,-1.85,14.4,15.6,-1.2,-0.12,-0.29,0,0,2,0,0,1,0,0,0,9,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Tom Heaton,ENG,GK,Aston Villa,33,1986,20,20,1794,19.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.76,102.0,68.0,68.6,5.0,3.0,11.0,4.0,20.0,3.0,0.0,0.0,0.0,19.9,35.0,3.0,1.0,7.0,1.0,28.4,0.26,-5.6,-0.28,112.0,358.0,31.3,431.0,99.0,52.4,39.5,195.0,67.7,50.5,379.0,11.0,2.9,13.0,0.65,12.1,371,628,59.1,11773,9470,61,61,100.0,176,180,97.8,133,383,34.7,0,0.0,0.0,0.0,0,7,0,0,0,628,350,276,81,0,0,0,0,0,0,0,0,371,2,0,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,6,0,685,593,672,12,1,0,685,0,0,0.0,2,0,203,0,90,52.5,90.0,19,0,0.0,0,1.05,26,35,-9,-0.45,0.49,25.4,39.8,-14.4,-0.72,-0.22,0,1,2,0,0,2,0,1,1,7,6,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Dean Henderson,ENG,GK,Sheffield Utd,22,1997,36,36,3240,36.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,33.0,0.92,128.0,94.0,75.0,14.0,11.0,11.0,13.0,36.1,1.0,1.0,1.0,50.0,36.0,33.0,1.0,0.0,2.0,0.0,39.2,0.31,6.2,0.17,260.0,833.0,31.2,779.0,106.0,74.3,51.9,261.0,97.3,69.1,552.0,20.0,3.6,23.0,0.64,12.5,448,1045,42.9,20541,18373,32,32,100.0,106,109,97.2,309,898,34.4,0,0.0,0.1,0.0,1,49,1,0,0,1045,657,383,122,0,1,0,0,0,0,0,0,448,5,0,5,0.14,2,3,0,0,0,0,1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,13,1,1127,953,1116,10,1,1,1127,0,0,0.0,2,0,363,0,90,94.7,90.0,36,0,0.0,0,1.47,36,33,3,0.08,1.58,41.6,47.3,-5.7,-0.16,0.97,0,0,2,0,0,0,0,0,0,23,16,0,100.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,9.5,0.0,0.06,-0.1,-0.1
190,Wayne Hennessey,WAL,GK,Crystal Palace,32,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.67,23.0,15.0,65.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,1.0,2.0,0.0,8.3,0.36,0.3,0.1,35.0,85.0,41.2,65.0,7.0,78.5,48.9,39.0,87.2,61.3,60.0,0.0,0.0,3.0,1.0,13.2,50,105,47.6,2360,2214,3,3,100.0,11,12,91.7,36,88,40.9,0,0.0,0.0,0.0,0,2,0,0,0,105,50,54,15,0,0,0,0,0,0,0,0,50,1,0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,3,1,121,108,120,1,0,0,121,0,0,0.0,0,0,35,0,90,7.9,90.0,3,0,0.0,34,0.33,2,8,-6,-2.0,-1.63,2.6,7.2,-4.7,-1.55,-1.08,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Tim Krul,NED,GK,Norwich City,31,1988,36,36,3240,36.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.89,195.0,128.0,66.7,5.0,6.0,25.0,5.0,13.9,3.0,2.0,0.0,40.0,36.0,68.0,3.0,1.0,11.0,3.0,60.5,0.29,-4.5,-0.12,169.0,598.0,28.3,1248.0,198.0,35.8,34.6,332.0,45.5,39.0,653.0,29.0,4.4,23.0,0.64,12.7,1084,1583,68.5,29495,20377,168,170,98.8,564,578,97.6,352,828,42.5,0,0.0,0.0,0.0,0,5,0,0,1,1583,1134,446,114,0,6,0,0,0,0,0,0,1084,3,2,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,13,1,1689,1373,1659,31,0,0,1689,0,1,0.0,1,1,839,0,90,94.7,90.0,36,0,0.0,0,0.58,25,68,-43,-1.19,1.81,33.7,62.0,-28.3,-0.78,-0.18,0,1,6,0,0,0,0,1,1,30,14,1,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,Bernd Leno,GER,GK,Arsenal,27,1992,30,30,2649,29.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.33,151.0,111.0,78.1,9.0,13.0,7.0,7.0,23.3,6.0,1.0,0.0,14.3,29.4,39.0,6.0,0.0,6.0,0.0,40.0,0.22,1.0,0.04,64.0,266.0,24.1,732.0,185.0,23.4,27.9,253.0,37.5,34.4,468.0,17.0,3.6,38.0,1.29,15.6,762,990,77.0,16550,10417,214,215,99.5,429,432,99.3,112,330,33.9,0,0.0,0.0,0.0,0,2,0,0,0,990,682,303,50,0,0,0,0,0,0,0,0,762,5,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,2,1079,968,1073,6,0,0,1079,1,1,100.0,1,0,436,0,88,77.5,88.0,29,0,0.0,0,1.33,40,39,1,0.03,-0.78,36.5,42.7,-6.2,-0.21,0.03,0,0,4,0,0,0,0,0,0,37,8,2,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
